261,"44200","Santa Cruz County","Juvenile","Santa Cruz"
262,"44460","Santa Cruz County","Superior","Santa Cruz"
263,"44480","Santa Cruz County","Superior","Watsonville"
264,"45200","Shasta County","Juvenile","Redding"
265,"45620","Shasta County","Superior","Burney"
266,"45670","Shasta County","Superior","Redding"
267,"46100","Sierra County","Superior","Downieville"
268,"46100","Sierra County","Superior","Downieville"
269,"47100","Siskiyou County","Superior","Yreka"
270,"47200","Siskiyou County","Juvenile","Yreka"
271,"47630","Siskiyou County","Superior","Dorris"
272,"47650","Siskiyou County","Superior","Happy Camp"
273,"47670","Siskiyou County","Superior","Weed"
274,"47690","Siskiyou County","Superior","Yreka"
275,"48100","Solano County","Superior","Fairfield"
276,"48200","Solano County","Juvenile","Fairfield"
277,"48430","Solano County","Superior","Fairfield"
278,"48480","Solano County","Superior","Vallejo"
279,"49100","Sonoma County","Superior","Santa Rosa"
280,"49200","Sonoma County","Juvenile","Santa Rosa"
281,"49460","Sonoma County","Superior","Santa Rosa"
282,"50100","Stanislaus County","Superior","Modesto"
283,"50200","Stanislaus County","Juvenile","Modesto"
284,"50450","Stanislaus County","Superior","Modesto"
285,"50670","Stanislaus County","Superior","Turlock"
286,"51100","Sutter County","Superior","Yuba City"
287,"51200","Sutter County","Juvenile","Yuba City"
288,"51460","Sutter County","Superior","Yuba City"
289,"52100","Tehama County","Superior","Red Bluff"
290,"52200","Tehama County","Juvenile","Red Bluff"
291,"52620","Tehama County","Superior","Corning"
292,"52660","Tehama County","Superior","Red Bluff"
293,"53100","Trinity County","Superior","Weaverville"
294,"53200","Trinity County","Juvenile","Weaverville"
295,"54100","Tulare County","Superior","Visalia"
296,"54200","Tulare County","Juvenile","Visalia"
297,"54440","Tulare County","Superior","Dinuba"
298,"54465","Tulare County","Superior","Parterville"
299,"54485","Tulare County","Superior","Tulare"
300,"54490","Tulare County","Superior","Visalia"
301,"55100","Tuolumne County","Superior","Sonora"
302,"55200","Tuolumne County","Juvenile","Sonora"
303,"56100","Ventura County","Superior","Ventura"
304,"56480","Ventura County","Superior","Ventura"
305,"57420","Yolo County","Superior","Woodland"
306,"58100","Yuba County","Superior","Marysville"
307,"58200","Yuba County","Juvenile","Marysville"
308,"58650","Yuba County","Superior","Marysville"
309,"60000","Test","Test","Test"
